zip,tier
04785,DAS_EXTENDED
04786,DAS_EXTENDED
04787,DAS_EXTENDED
04841,REMOTE_US48
04843,DAS
04847,DAS_EXTENDED
04848,REMOTE_US48
04849,DAS
04850,DAS
04851,DAS_EXTENDED
04852,REMOTE_US48
04853,REMOTE_US48
04854,DAS
04855,DAS_EXTENDED
04856,DAS
04857,DAS_EXTENDED
04858,DAS_EXTENDED
04859,DAS_EXTENDED
04860,DAS_EXTENDED
04861,DAS
04862,DAS_EXTENDED
04863,DAS_EXTENDED
04864,DAS_EXTENDED
04865,DAS
04910,DAS_EXTENDED
04911,REMOTE_US48
04912,DAS_EXTENDED
04915,DAS
04917,DAS
04918,DAS
04920,DAS_EXTENDED
04921,DAS_EXTENDED
04922,DAS_EXTENDED
04923,DAS_EXTENDED
04924,REMOTE_US48
04925,DAS_EXTENDED
04926,DAS_EXTENDED
04927,DAS
04928,DAS_EXTENDED
04929,DAS_EXTENDED
04930,DAS_EXTENDED
04932,DAS_EXTENDED
04933,DAS
04936,REMOTE_US48
04937,DAS
04938,DAS
04939,DAS_EXTENDED
04941,REMOTE_US48
04942,REMOTE_US48
04943,REMOTE_US48
04944,DAS
04945,DAS_EXTENDED
04947,DAS_EXTENDED
04949,DAS_EXTENDED
04950,DAS_EXTENDED
04951,DAS_EXTENDED
04952,DAS_EXTENDED
04953,DAS_EXTENDED
04954,DAS_EXTENDED
04955,REMOTE_US48
04956,DAS_EXTENDED
04957,DAS_EXTENDED
04958,REMOTE_US48
04961,DAS_EXTENDED
04962,DAS
04963,DAS
04964,REMOTE_US48
04965,DAS_EXTENDED
04966,DAS_EXTENDED
04967,DAS_EXTENDED
04969,DAS_EXTENDED
04970,REMOTE_US48
04971,DAS_EXTENDED
04972,DAS
04973,DAS_EXTENDED
04974,DAS_EXTENDED
04976,DAS_EXTENDED
04978,DAS_EXTENDED
04979,DAS_EXTENDED
04981,DAS
04982,REMOTE_US48
04983,DAS_EXTENDED
04984,DAS_EXTENDED
04985,REMOTE_US48
04986,DAS_EXTENDED
04987,DAS_EXTENDED
04988,DAS_EXTENDED
04989,REMOTE_US48
04992,DAS
05001,DAS
05030,DAS
05031,DAS_EXTENDED
05032,DAS_EXTENDED
05033,DAS
05034,DAS_EXTENDED
05035,DAS_EXTENDED
05036,DAS_EXTENDED
05037,DAS_EXTENDED
05038,DAS_EXTENDED
05039,DAS_EXTENDED
05040,DAS_EXTENDED
05041,DAS_EXTENDED
05042,DAS_EXTENDED
05043,DAS_EXTENDED
05045,DAS_EXTENDED
05046,DAS_EXTENDED
05047,DAS_EXTENDED
05048,DAS_EXTENDED
05049,DAS_EXTENDED
05050,DAS
